ca_id	site_id	part_id	clust_leg	clust_te
3498	14016	1	1	8
803	115118	1	1	5
8763	15375	1	1	8
38	1093	1	1	1
24912	14069	1	1	2
12224	5266	1	1	1
1756	6673	1	1	8
183	281	1	1	2
3548	11783	1	1	5
9422	12739	1	1	1
3797	5410	1	1	1
6726	2262	1	1	7
12233	5266	1	1	1
3574	10574	1	1	8
890	115210	1	1	4
424	1002	1	1	4
65	6687	1	1	6
284	1112	1	1	5
24926	14069	1	1	1
16009	5266	1	1	7
8579	11911	1	1	6
17653	2737	1	1	1
8764	15375	1	1	8
15996	5266	1	1	1
108	6661	1	1	1
532	1067	1	1	5
15967	5266	1	1	1
3583	15565	1	1	5
3586	15565	1	1	3
16036	5266	1	1	7
9999972	1042	1	1	7
24894	14069	1	1	1
15984	5266	1	1	1
17618	2486	1	1	4
8766	15375	1	1	1
76746	5511	1	1	1
24969	14069	1	1	1
49478	6224	1	1	1
980096	1094	1	1	1
18046	2748	1	1	1
18087	2748	1	1	1
555	6676	1	1	4
1604	115106	1	1	4
511	1040	1	1	4
3561	14050	1	1	2
8574	11911	1	1	6
181	1027	1	1	4
1330	115135	1	1	1
6725	2262	1	1	7
1644	115158	1	1	5
15989	5266	1	1	1
24968	14069	1	1	5
11746	561	1	2	1
50325	271	1	2	2
470	1076	1	2	3
292	1122	1	2	1
49526	6213	1	2	4
237	287	1	2	2
24934	14069	1	2	1
24918	14069	1	2	5
21326	1029	1	2	6
172	1005	1	2	7
24981	14069	1	2	5
12268	5266	1	2	1
995	115132	1	2	7
15965	5266	1	2	5
234	310	1	2	1
18319	1034	1	2	1
247	305	1	2	7
29612	1036	1	2	6
843	115210	1	2	4
9896	2192	1	2	5
24836	15292	1	2	5
20163	12072	1	2	1
17973	1968	1	2	5
334	1011	1	2	1
3813	5410	1	2	3
16164	12477	1	2	3
9897	2192	1	2	7
11751	561	1	2	1
18381	1014	1	2	2
476	1076	1	2	4
21278	318	1	2	7
6342	1009	1	2	4
15949	5266	1	2	3
1329	115135	1	2	1
9382	14022	1	2	5
24827	15292	1	2	5
980126	1094	1	2	5
17797	120	1	2	1
4722	1188	1	2	4
980023	1094	1	2	3
17897	5901	1	2	5
701	1195	1	2	6
24859	15292	1	2	4
893	115210	1	2	4
290	1042	1	2	2
512	1040	1	2	7
5198	1118	1	2	3
16111	5265	1	2	5
18338	323	1	2	7
6744	2262	1	2	5
15958	5266	1	2	1
1782	115153	1	2	4
132	1042	1	2	1
24935	14069	1	2	5
17661	2737	1	2	1
1304	130	4	2	4
9428	12739	1	2	1
433	1079	1	2	4
21290	318	1	2	7
553	1080	1	2	5
9425	12739	1	2	5
257	282	1	2	7
50279	271	1	2	1
49473	6240	1	2	4
8755	15375	1	2	2
18042	2748	1	2	3
620	1082	1	2	7
16130	5265	1	2	5
50323	271	1	2	4
980173	1097	1	2	3
980111	1094	1	2	1
980094	1094	1	2	4
18262	1029	1	2	4
16100	5265	1	2	5
6865	83	1	2	2
331	1173	1	2	7
24093	5410	1	2	1
30144	303481	1	2	1
280	1127	1	2	6
64056	5901	1	2	5
197	281	1	2	2
30162	303481	1	2	3
250	305	1	2	4
980106	1094	1	2	5
318	1025	1	2	5
1810	6680	1	2	6
363	1029	1	2	3
562	1079	1	2	5
5207	1134	1	2	7
147	302	1	2	4
17923	5901	1	2	5
15980	5266	1	2	1
64004	12477	1	2	3
496	1065	1	2	6
337	1010	1	2	1
1740	6683	1	2	4
9343	13970	1	2	5
64060	5901	1	2	1
18161	1029	1	2	1
15927	5266	1	2	1
21285	318	1	2	4
9389	14022	1	2	3
250	1127	1	2	5
21315	1041	1	2	6
24924	14069	1	2	3
108	304	1	2	6
24932	14069	1	2	3
17975	1968	1	2	3
16045	5266	1	2	1
18105	5894	1	2	2
49521	6216	1	2	1
16135	5265	1	2	3
1818	6680	1	2	1
50294	271	1	2	2
3508	12557	1	2	6
5	901	2	2	3
6804	2737	1	2	5
1954	1038	1	2	7
980150	1094	1	2	3
50309	271	1	2	2
24253	2192	1	2	7
6738	2262	1	2	3
16088	5265	1	2	3
390	1013	1	2	7
1742	6683	1	2	7
6803	2737	1	2	4
63246	2356	1	2	4
265	1127	1	2	6
57	1153	1	2	7
136	294	1	2	6
489	1074	1	2	2
6789	2737	1	2	5
21272	318	1	2	7
332	1011	1	2	4
980109	1094	1	2	4
150	308	1	2	6
980028	1094	1	2	4
32190	1106	1	2	5
24964	14069	1	2	1
30143	303481	1	2	1
41336	5257	1	2	2
24905	14069	1	2	7
24921	14069	1	2	5
20125	12007	1	2	7
6873	83	1	2	2
559	6676	1	2	6
11758	561	1	2	5
6836	83	1	2	2
89	6661	1	2	6
171	1005	1	2	7
142	275	1	2	4
18245	1029	1	2	4
11778	561	1	2	3
4721	1188	1	2	4
15945	5266	1	2	6
18358	1015	1	2	3
16155	5265	1	2	5
170	287	1	2	4
128	294	1	2	6
187	290	1	2	1
980165	1096	1	2	4
17625	2459	1	2	2
18239	1029	1	2	5
17664	2737	1	2	2
238	285	1	2	7
24877	14069	1	2	3
53615	1018	1	2	6
9393	14022	1	2	3
24826	15292	1	2	7
18254	1029	1	2	5
49483	6224	1	2	7
21311	322	1	2	1
76757	5265	1	2	5
6811	2737	1	2	5
8828	15309	1	2	6
9348	13970	1	2	5
136	1172	1	2	2
18036	2748	1	2	2
9446	12895	1	2	3
248	1127	1	2	6
16144	5265	1	2	3
8551	11911	1	2	1
15998	5266	1	2	2
11754	561	1	2	1
8666	10923	1	2	6
119	115115	1	2	7
50226	271	1	2	5
9379	13367	1	2	3
16157	11000	1	2	2
21281	318	1	2	3
17945	1968	1	2	5
980137	1094	1	2	3
916	1112	1	2	7
24820	15292	1	2	1
50341	6405	1	2	4
354	1021	1	2	5
17934	1968	1	2	5
957	1042	1	2	6
9355	13970	1	2	3
135	1042	1	2	1
76759	2515	1	2	3
24852	15292	1	2	4
49524	6213	1	2	4
18330	321	1	2	6
28	901	1	2	3
11785	561	1	2	1
980156	1095	1	2	5
318	1059	1	2	6
9353	13970	1	2	3
311	1014	1	2	5
980083	1094	1	2	5
720	1058	1	2	6
9334	13970	1	2	3
6757	70	1	2	2
12272	5266	1	2	3
18197	1015	1	2	4
20157	12007	1	2	1
90	6661	1	2	4
6867	83	1	2	2
18271	1029	1	2	6
552	6684	1	2	6
50318	271	1	2	2
24813	15292	1	2	5
780	1030	1	2	6
185	1027	1	2	6
18044	2748	1	2	1
16048	5266	1	2	1
11756	561	1	2	1
7382	1041	1	2	5
50178	274	1	2	3
130	306	1	2	6
16176	12477	1	2	1
88	280	1	2	1
582	6686	1	2	4
24913	14069	1	2	5
614	1091	1	2	4
17958	1968	1	2	1
1805	6680	1	2	4
24987	14069	1	2	3
17628	2459	1	2	1
